,CityCode,Province,AreaCode,Area,Count
0,1,Hanoi,1,Red River Delta,79092
1,2,Ho Chi Minh City,5,South East,78319
2,3,Hai Phong,1,Red River Delta,20061
3,4,Da Nang,3,North Central and Central coastal areas,11154
4,5,Ha Giang,2,Northern midlands and mountain areas,5470
5,6,Cao Bang,2,Northern midlands and mountain areas,4571
6,7,Lai Chau,2,Northern midlands and mountain areas,3232
7,8,Lao Cai,2,Northern midlands and mountain areas,6199
8,9,Tuyen Quang,2,Northern midlands and mountain areas,7638
9,10,Lang Son,2,Northern midlands and mountain areas,9013
10,11,Bac Kan,2,Northern midlands and mountain areas,2866
11,12,Thai Nguyen,2,Northern midlands and mountain areas,14449
12,13,Yen Bai,2,Northern midlands and mountain areas,7021
13,14,Son La,2,Northern midlands and mountain areas,10387
14,15,Phu Tho,2,Northern midlands and mountain areas,13699
15,16,Vinh Phuc,1,Red River Delta,12602
16,17,Quang Ninh,1,Red River Delta,14690
17,18,Bac Giang,2,Northern midlands and mountain areas,19612
18,19,Bac Ninh,1,Red River Delta,14815
19,21,Hai Duong,1,Red River Delta,19973
20,22,Hung Yen,1,Red River Delta,12888
21,23,Hoa Binh,2,Northern midlands and mountain areas,8952
22,24,Ha Nam,1,Red River Delta,8685
23,25,Nam Dinh,1,Red River Delta,19721
24,26,Thai Binh,1,Red River Delta,21435
25,27,Ninh Binh,1,Red River Delta,9612
26,28,Thanh Hoa,3,North Central and Central coastal areas,35299
27,29,Nghe An,3,North Central and Central coastal areas,31426
28,30,Ha Tinh,3,North Central and Central coastal areas,16329
29,31,Quang Binh,3,North Central and Central coastal areas,9623
30,32,Quang Tri,3,North Central and Central coastal areas,7889
31,33,Thua Thien - Hue,3,North Central and Central coastal areas,12387
32,34,Quang Nam,3,North Central and Central coastal areas,17532
33,35,Quang Ngai,3,North Central and Central coastal areas,12631
34,36,Kon Tum,4,Central Highlands,4445
35,37,Binh Dinh,3,North Central and Central coastal areas,17785
36,38,Gia Lai,4,Central Highlands,12825
37,39,Phu Yen,3,North Central and Central coastal areas,10731
38,40,Dak Lak,4,Central Highlands,22035
39,41,Khanh Hoa,3,North Central and Central coastal areas,13500
40,42,Lam Dong,4,Central Highlands,14985
41,43,Binh Phuoc,5,South East,10219
42,44,Binh Duong,5,South East,11313
43,45,Ninh Thuan,3,North Central and Central coastal areas,5774
44,46,Tay Ninh,5,South East,8858
45,47,Binh Thuan,3,North Central and Central coastal areas,11716
46,48,Dong Nai,5,South East,28651
47,49,Long An,6,Mekong River Delta,14065
48,50,Dong Thap,6,Mekong River Delta,14367
49,51,An Giang,6,Mekong River Delta,16359
50,52,Ba Ria - Vung Tau,5,South East,11846
51,53,Tien Giang,6,Mekong River Delta,14106
52,54,Kien Giang,6,Mekong River Delta,13482
53,55,Can Tho,6,Mekong River Delta,13068
54,56,Ben Tre,6,Mekong River Delta,11740
55,57,Vinh Long,6,Mekong River Delta,10571
56,58,Tra Vinh,6,Mekong River Delta,8183
57,59,Soc Trang,6,Mekong River Delta,9334
58,60,Bac Lieu,6,Mekong River Delta,5370
59,61,Ca Mau,6,Mekong River Delta,9275
60,62,Dien Bien,2,Northern midlands and mountain areas,5481
61,63,Dak Nong,4,Central Highlands,6361
62,64,Hau Giang,6,Mekong River Delta,6190
