,CityCode,Province,AreaCode,Area,Count
0,1,Hanoi,1,Red River Delta,74286
1,2,Ho Chi Minh City,5,South East,70475
2,3,Hai Phong,1,Red River Delta,18485
3,4,Da Nang,3,North Central and Central coastal areas,10112
4,5,Ha Giang,2,Northern midlands and mountain areas,5155
5,6,Cao Bang,2,Northern midlands and mountain areas,4742
6,7,Lai Chau,2,Northern midlands and mountain areas,3233
7,8,Lao Cai,2,Northern midlands and mountain areas,6232
8,9,Tuyen Quang,2,Northern midlands and mountain areas,7868
9,10,Lang Son,2,Northern midlands and mountain areas,8832
10,11,Bac Kan,2,Northern midlands and mountain areas,2849
11,12,Thai Nguyen,2,Northern midlands and mountain areas,14348
12,13,Yen Bai,2,Northern midlands and mountain areas,7024
13,14,Son La,2,Northern midlands and mountain areas,10551
14,15,Phu Tho,2,Northern midlands and mountain areas,13636
15,16,Vinh Phuc,1,Red River Delta,12244
16,17,Quang Ninh,1,Red River Delta,14110
17,18,Bac Giang,2,Northern midlands and mountain areas,19557
18,19,Bac Ninh,1,Red River Delta,14281
19,21,Hai Duong,1,Red River Delta,19252
20,22,Hung Yen,1,Red River Delta,12357
21,23,Hoa Binh,2,Northern midlands and mountain areas,8950
22,24,Ha Nam,1,Red River Delta,8584
23,25,Nam Dinh,1,Red River Delta,18277
24,26,Thai Binh,1,Red River Delta,18990
25,27,Ninh Binh,1,Red River Delta,8949
26,28,Thanh Hoa,3,North Central and Central coastal areas,34887
27,29,Nghe An,3,North Central and Central coastal areas,32243
28,30,Ha Tinh,3,North Central and Central coastal areas,16823
29,31,Quang Binh,3,North Central and Central coastal areas,10386
30,32,Quang Tri,3,North Central and Central coastal areas,7873
31,33,Thua Thien - Hue,3,North Central and Central coastal areas,12069
32,34,Quang Nam,3,North Central and Central coastal areas,16348
33,35,Quang Ngai,3,North Central and Central coastal areas,12692
34,36,Kon Tum,4,Central Highlands,4305
35,37,Binh Dinh,3,North Central and Central coastal areas,17777
36,38,Gia Lai,4,Central Highlands,13182
37,39,Phu Yen,3,North Central and Central coastal areas,10311
38,40,Dak Lak,4,Central Highlands,20471
39,41,Khanh Hoa,3,North Central and Central coastal areas,12547
40,42,Lam Dong,4,Central Highlands,13889
41,43,Binh Phuoc,5,South East,9706
42,44,Binh Duong,5,South East,10855
43,45,Ninh Thuan,3,North Central and Central coastal areas,5451
44,46,Tay Ninh,5,South East,8723
45,47,Binh Thuan,3,North Central and Central coastal areas,10885
46,48,Dong Nai,5,South East,27540
47,49,Long An,6,Mekong River Delta,13353
48,50,Dong Thap,6,Mekong River Delta,13098
49,51,An Giang,6,Mekong River Delta,15786
50,52,Ba Ria - Vung Tau,5,South East,11222
51,53,Tien Giang,6,Mekong River Delta,13744
52,54,Kien Giang,6,Mekong River Delta,12472
53,55,Can Tho,6,Mekong River Delta,10472
54,56,Ben Tre,6,Mekong River Delta,11318
55,57,Vinh Long,6,Mekong River Delta,10274
56,58,Tra Vinh,6,Mekong River Delta,7840
57,59,Soc Trang,6,Mekong River Delta,8761
58,60,Bac Lieu,6,Mekong River Delta,5356
59,61,Ca Mau,6,Mekong River Delta,9293
60,62,Dien Bien,2,Northern midlands and mountain areas,5288
61,63,Dak Nong,4,Central Highlands,6293
62,64,Hau Giang,6,Mekong River Delta,5708
