Major ID,Major,Subjects Combination,Standard Grade,Main Subject
BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,"A00, B00, D07",23,Math
BF1,Kỹ thuật Sinh học,"A00, B00, D07",23.4,Math
BF2,Kỹ thuật Thực phẩm,"A00, B00, D07",24,Math
CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,"A00, B00, D07",23.1,Math
CH1,Kỹ thuật Hóa học,"A00, B00, D07",22.3,Math
CH2,Hóa học,"A00, B00, D07",21.1,Math
CH3,Kỹ thuật in,"A00, B00, D07",21.1,Math
ED2,Công nghệ giáo dục,"A00, A01. D01",20.6,
EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,"A00, A01",25.2,Math
EE1,Kỹ thuật Điện,"A00, A01",24.28,
EE2,Kỹ thuật Điều khiển - Tự động hóa,"A00, A01",26.05,Math
EM-E13,Chương trình tiên tiến Phân tích kinh doanh,"A00, A01",22,Math
EM-NU,Quản lý công nghiệp - Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),"A00, A01, D01, D07",23,
EM-VUW,Quản trị kinh doanh - ĐH Victoria (New Zealand),"A00, A01, D01, D07",20.9,
EM1,Kinh tế công nghiệp,"A00, A01, D01",21.9,
EM2,Quản lý công nghiệp,"A00, A01, D01",22.3,
EM3,Quản trị kinh doanh,"A00, A01, D01",23.3,
EM4,Kế toán,"A00, A01, D01",22.6,
EM5,Tài chính - Ngân hàng,"A00, A01, D01",22.5,
ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,"A00, A01",24.6,Math
ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,"A00, A01",24.1,Math
ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,"A00, A01",24.95,Math
ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức),"A00, A01",20.3,
ET1,Kỹ thuật Điện tử - Viễn thông,"A00, A01",24.8,Math
EV1,Kỹ thuật Môi trường,"A00, B00, D07",20.2,Math
FL1,Tiếng Anh KHKT và Công nghệ,D01,22.6,English
FL2,Tiếng Anh chuyên nghiệp quốc tế,D01,23.2,English
HE1,Kỹ thuật Nhiệt,"A00, A01",22.3,Math
IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,"A00, A01",27,Math
IT-E6,Công nghệ thông tin Việt-Nhật,"A00, A01",25.7,Math
IT-E7,Công nghệ thông tin Global ICT,"A00, A01",26,Math
IT-GINP,Hệ thống thông tin - ĐH Grenoble (Pháp),"A00, A01, D07, D29",20,
IT-LTU,Công nghệ thông tin - ĐH La Trobe (Úc),"A00, A01, D07",23.25,
IT-VUW,Công nghệ thông tin - ĐH Victoria (New Zealand),"A00, A01, D07",22,
IT1,CNTT: Khoa học Máy tính,"A00, A01",27.42,Math
IT2,CNTT: Kỹ thuật Máy tính,"A00, A01",26.85,Math
ME-E1,Chương trình tiên tiến Cơ điện tử,"A00, A01",24.06,Math
ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),"A00, A01, D07",21.2,
ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),"A00, A01, D07",20.5,
ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),"A00, A01, D07",22.15,
ME1,Kỹ thuật Cơ điện tử,"A00, A01",25.4,Math
ME2,Kỹ thuật Cơ khí,"A00, A01",23.86,Math
MI1,Toán-Tin,"A00, A01",25.2,Math
MI2,Hệ thống thông tin quản lý,"A00, A01",24.8,Math
MS-E3,Chương trình tiên tiến Kỹ thuật Vật liệu (Vật liệu thông minh và Nano),"A00, A01, D07",21.6,Math
MS1,Kỹ thuật Vật liệu,"A00, A01, D07",21.4,Math
PH1,Vật lý kỹ thuật,"A00, A01",22.1,Math
PH2,Kỹ thuật hạt nhân,"A00, A01, A02",20,Math
TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,"A00, A01",24.23,Math
TE1,Kỹ thuật Ô tô,"A00, A01",25.05,Math
TE2,Kỹ thuật Cơ khí động lực,"A00, A01",23.7,Math
TE3,Kỹ thuật Hàng không,"A00, A01",24.7,Math
TROY-BA,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ),"A00,A01, D01, D07",20.2,
TROY-IT,Khoa học máy tính - ĐH Troy (Hoa Kỳ),"A00, A01, D01, D07",20.6,
TX1,Kỹ thuật Dệt - May,"A00, A01",21.88,Math
