CityCode,Area,Math,Literature,English,Physic,Chemistry,Biology,Geography,History,Civic Education,A,B,C,A1,D1,A-BK,A1-BK
1,1,5.124918469640251,5.405522301602626,4.506539861113125,5.056473002841806,4.720442032405223,4.206093880434085,5.447659316281451,3.7186117180471148,7.109671385127005,15.717295397436306,14.879091726618705,14.612979583317522,15.786793975255513,15.458044912014474,16.24373827093737,16.377988838084992
16,1,4.952057302029447,5.503378105024678,4.01879746835443,5.549927025054731,5.311062696683612,4.8274744452754925,5.873856846726009,4.141090283544904,7.808626313881841,17.0495085995086,16.344402892046872,15.44090742773509,15.848305513404148,15.472996922423857,17.413912776412776,16.53880880121396
19,1,5.010831643002028,5.348717510259918,3.8324852339845523,5.579257849666984,5.30760106282027,4.319163292847503,5.304318205638822,3.6812512937280064,6.967094849628637,17.12409500095767,15.8815850366371,14.226486316451714,15.86250243237984,14.451167122871047,17.519675349549896,16.57533566841798
17,1,4.419220531021773,5.027319195966015,3.602263083451202,4.963544548976204,4.906189286705523,4.43631940469376,5.375475457344684,3.724991224991225,6.967859007832899,15.590780637940682,15.114768174012593,13.99431663798569,14.899024177104573,13.339046717171717,15.988105064353665,15.508494756772503
21,1,4.997862840515728,5.758119527591122,3.7666248131539612,5.2763653483992465,5.1539613848202395,4.465528917784098,5.6511175898931,3.8155492312241277,7.344695173983123,16.362515171948754,15.550982251727408,15.073023412371905,15.231441761363635,15.10200971863939,16.725642279163857,15.92396484375
3,1,5.178849814647831,5.834028166149779,4.1952097130242825,5.481118927528537,5.10754189944134,4.630877955966295,5.622043054759761,3.898609431680774,7.569847151459009,16.769417996513344,15.946296547974994,15.243464186198985,16.26609022556391,15.583067795665979,17.212821845246076,16.843744019138757
22,1,4.941104199066874,5.529857221740159,3.654923009238891,4.864140654381346,4.9283966879939785,4.269697838974947,5.500301039956212,3.7050894975199484,6.917989585979172,15.571481411229135,14.974144195830943,14.630269352896091,14.97910511667737,14.457523025150548,16.00912130121396,15.758477842003854
26,1,5.172599411242465,5.0428506830406015,3.8941840464416253,5.22793323514973,5.390429857682254,4.641663399333464,5.540390337826011,3.790005212405525,7.299150953798655,16.66205044832003,16.070412664183493,14.107818245491158,15.441243628950051,14.478900097097853,17.03166937629323,16.140703363914373
24,1,5.214115744484232,6.293296252927401,3.880367067338762,5.627073255010366,5.522929500342231,4.735216934919524,5.883116295894375,4.2096914008321775,7.767734089987839,17.475095320623918,16.591754201680672,16.320258776692,16.107675830060693,15.746529129362917,17.85079289428076,16.83047126026419
25,1,5.477601016518425,5.999148694665153,4.261426624261699,5.568859778235698,5.442901685666959,4.824797310658493,5.840720594571305,4.031873466339486,7.654501458499072,17.271522852639873,16.52910897943038,15.702446384308654,16.22080375887234,16.156555460507555,17.65015514184397,16.86504298710387
27,1,5.169798307033128,5.965355706118992,4.049829434697855,5.569898534385569,5.321871476888388,4.748631123919308,5.902250885179565,4.119579554822754,7.822646443514644,17.2070859419465,16.377494232987313,15.858365660313712,16.17717517401392,15.700030618493571,17.635863688104724,16.861057134570764
5,2,3.521884778207252,4.423513412117802,3.0034046086776,4.3647242455775235,4.242521367521367,4.055683122847302,4.767352185089974,3.474786413836216,6.2073999046711155,13.495059717698155,13.112342135476464,12.593065693430656,12.812030905077263,11.025652906486942,13.804682410423453,13.31183774834437
6,2,3.8511009174311925,5.42821396797153,3.2018455048774057,4.1218291054739655,4.2123333333333335,4.533379694019471,5.451319497822188,3.953423468122054,6.797471229557844,13.344679399727148,13.711559888579387,14.72930017944117,12.79864864864865,12.707588219686919,13.754826057298772,13.346426031294452
11,2,3.9339456022606853,5.820038910505836,3.1586688578471653,4.12037037037037,4.14196675900277,4.542507204610951,5.5186170212765955,4.036402157164869,7.178229119123688,13.335072463768116,13.820317002881845,15.244159836065574,13.764459930313588,13.07277800744109,13.824347826086957,14.41411149825784
9,2,4.038000530363298,5.496880807008229,3.2528375190786734,4.912537165510407,5.092396535129932,4.967717717717718,5.454982924557591,3.8999393571861733,6.8590566340446015,15.676946107784431,15.786236236236237,14.743671377543096,14.52413612565445,12.783822506607317,16.01504491017964,15.177447643979058
