,Major ID,Type,Grade
119,ET1,Predicted Grades Upper 2021,27.38
120,MI2,Real Grades 2021,27.0
121,MI2,Predicted Grades Lower 2021,26.74
122,MI2,Predicted Grades Upper 2021,27.3
123,IT-EP,Real Grades 2021,27.19
124,IT-EP,Predicted Grades Lower 2021,26.74
125,IT-EP,Predicted Grades Upper 2021,27.3
126,TE1,Real Grades 2021,26.94
127,TE1,Predicted Grades Lower 2021,26.78
128,TE1,Predicted Grades Upper 2021,27.38
129,EE-E8,Real Grades 2021,27.26
130,EE-E8,Predicted Grades Lower 2021,26.89
131,EE-E8,Predicted Grades Upper 2021,27.49
132,ME1,Real Grades 2021,26.91
133,ME1,Predicted Grades Lower 2021,26.92
134,ME1,Predicted Grades Upper 2021,27.49
135,ET-E9,Real Grades 2021,26.93
136,ET-E9,Predicted Grades Lower 2021,26.96
137,ET-E9,Predicted Grades Upper 2021,27.56
138,MI1,Real Grades 2021,27.0
139,MI1,Predicted Grades Lower 2021,27.0
140,MI1,Predicted Grades Upper 2021,27.6
141,IT-E6,Real Grades 2021,27.4
142,IT-E6,Predicted Grades Lower 2021,27.41
143,IT-E6,Predicted Grades Upper 2021,28.01
144,EE2,Real Grades 2021,27.46
145,EE2,Predicted Grades Lower 2021,27.56
146,EE2,Predicted Grades Upper 2021,28.16
147,IT-E7,Real Grades 2021,27.85
148,IT-E7,Predicted Grades Lower 2021,27.79
149,IT-E7,Predicted Grades Upper 2021,28.39
150,IT-E10,Real Grades 2021,28.04
151,IT-E10,Predicted Grades Lower 2021,28.01
152,IT-E10,Predicted Grades Upper 2021,28.69
153,IT2,Real Grades 2021,28.1
154,IT2,Predicted Grades Lower 2021,28.01
155,IT2,Predicted Grades Upper 2021,28.69
156,IT1,Real Grades 2021,28.43
157,IT1,Predicted Grades Lower 2021,28.46
158,IT1,Predicted Grades Upper 2021,29.14
