,Major ID,Type,Grade
0,TROY-BA,Real Grades 2020,22.5
1,TROY-BA,Predicted Grades Lower 2020,22.25
2,TROY-BA,Predicted Grades Upper 2020,22.85
3,TROY-IT,Real Grades 2020,25.0
4,TROY-IT,Predicted Grades Lower 2020,23.15
5,TROY-IT,Predicted Grades Upper 2020,23.7
6,ED2,Real Grades 2020,23.8
7,ED2,Predicted Grades Lower 2020,23.15
8,ED2,Predicted Grades Upper 2020,23.7
9,PH2,Real Grades 2020,24.7
10,PH2,Predicted Grades Lower 2020,23.21
11,PH2,Predicted Grades Upper 2020,23.66
12,ET-LUH,Real Grades 2020,23.85
13,ET-LUH,Predicted Grades Lower 2020,23.35
14,ET-LUH,Predicted Grades Upper 2020,23.85
15,EV1,Real Grades 2020,23.85
16,EV1,Predicted Grades Lower 2020,23.4
17,EV1,Predicted Grades Upper 2020,23.85
18,EM-VUW,Real Grades 2020,22.7
19,EM-VUW,Predicted Grades Lower 2020,23.4
20,EM-VUW,Predicted Grades Upper 2020,23.95
21,ME-LUH,Real Grades 2020,24.2
22,ME-LUH,Predicted Grades Lower 2020,23.5
23,ME-LUH,Predicted Grades Upper 2020,24.0
24,FL1,Real Grades 2020,24.1
25,FL1,Predicted Grades Lower 2020,23.92
26,FL1,Predicted Grades Upper 2020,24.45
27,ME-GU,Real Grades 2020,23.9
28,ME-GU,Predicted Grades Lower 2020,24.05
29,ME-GU,Predicted Grades Upper 2020,24.5
30,CH2,Real Grades 2020,24.16
31,CH2,Predicted Grades Lower 2020,24.11
32,CH2,Predicted Grades Upper 2020,24.56
33,CH3,Real Grades 2020,24.51
34,CH3,Predicted Grades Lower 2020,24.11
35,CH3,Predicted Grades Upper 2020,24.56
36,EM1,Real Grades 2020,24.65
37,EM1,Predicted Grades Lower 2020,24.2
38,EM1,Predicted Grades Upper 2020,24.75
39,MS1,Real Grades 2020,25.18
40,MS1,Predicted Grades Lower 2020,24.3
41,MS1,Predicted Grades Upper 2020,24.71
