,Major ID,Type,Grade
137,IT-E7,Predicted Grades Upper 2021,27.49
138,EE2,Real Grades 2021,27.46
139,EE2,Predicted Grades Lower 2021,27.11
140,EE2,Predicted Grades Upper 2021,27.49
141,IT2,Real Grades 2021,28.1
142,IT2,Predicted Grades Lower 2021,27.6
143,IT2,Predicted Grades Upper 2021,28.01
144,IT-E10,Real Grades 2021,28.04
145,IT-E10,Predicted Grades Lower 2021,27.71
146,IT-E10,Predicted Grades Upper 2021,28.12
147,IT1,Real Grades 2021,28.43
148,IT1,Predicted Grades Lower 2021,28.01
149,IT1,Predicted Grades Upper 2021,28.39
