,Major ID,Type,Grade
0,TROY-IT,Real Grades 2021,25.5
1,TROY-IT,Predicted Grades Lower 2021,23.55
2,TROY-IT,Predicted Grades Upper 2021,24.1
3,TROY-BA,Real Grades 2021,23.25
4,TROY-BA,Predicted Grades Lower 2021,23.55
5,TROY-BA,Predicted Grades Upper 2021,24.1
6,ME-GU,Real Grades 2021,23.88
7,ME-GU,Predicted Grades Lower 2021,23.9
8,ME-GU,Predicted Grades Upper 2021,24.3
9,ET-LUH,Real Grades 2021,25.13
10,ET-LUH,Predicted Grades Lower 2021,23.9
11,ET-LUH,Predicted Grades Upper 2021,24.3
12,EM1,Real Grades 2021,25.65
13,EM1,Predicted Grades Lower 2021,24.9
14,EM1,Predicted Grades Upper 2021,25.3
15,EM2,Real Grades 2021,25.75
16,EM2,Predicted Grades Lower 2021,24.9
17,EM2,Predicted Grades Upper 2021,25.3
18,EM5,Real Grades 2021,25.83
19,EM5,Predicted Grades Lower 2021,24.9
20,EM5,Predicted Grades Upper 2021,25.3
21,CH1,Real Grades 2021,25.2
22,CH1,Predicted Grades Lower 2021,24.97
23,CH1,Predicted Grades Upper 2021,25.31
24,CH2,Real Grades 2021,24.96
25,CH2,Predicted Grades Lower 2021,24.97
26,CH2,Predicted Grades Upper 2021,25.31
27,EV1,Real Grades 2021,24.01
28,EV1,Predicted Grades Lower 2021,24.97
29,EV1,Predicted Grades Upper 2021,25.31
30,CH3,Real Grades 2021,24.45
31,CH3,Predicted Grades Lower 2021,24.97
32,CH3,Predicted Grades Upper 2021,25.31
33,TX1,Real Grades 2021,23.99
34,TX1,Predicted Grades Lower 2021,25.09
35,TX1,Predicted Grades Upper 2021,25.42
36,MS-E3,Real Grades 2021,23.99
37,MS-E3,Predicted Grades Lower 2021,25.09
38,MS-E3,Predicted Grades Upper 2021,25.42
39,HE1,Real Grades 2021,24.5
40,HE1,Predicted Grades Lower 2021,25.09
41,HE1,Predicted Grades Upper 2021,25.42
42,MS1,Real Grades 2021,24.65
43,MS1,Predicted Grades Lower 2021,25.09
44,MS1,Predicted Grades Upper 2021,25.42
45,PH2,Real Grades 2021,24.48
46,PH2,Predicted Grades Lower 2021,25.09
47,PH2,Predicted Grades Upper 2021,25.42
48,PH1,Real Grades 2021,25.64
49,PH1,Predicted Grades Lower 2021,25.09
50,PH1,Predicted Grades Upper 2021,25.42
51,EM4,Real Grades 2021,25.76
52,EM4,Predicted Grades Lower 2021,25.2
