,Major ID,Type,Grade
53,EM4,Predicted Grades Upper 2021,25.6
54,EM3,Real Grades 2021,26.04
55,EM3,Predicted Grades Lower 2021,25.35
56,EM3,Predicted Grades Upper 2021,25.7
57,ME-NUT,Real Grades 2021,24.88
58,ME-NUT,Predicted Grades Lower 2021,25.35
59,ME-NUT,Predicted Grades Upper 2021,25.7
60,EE1,Real Grades 2021,26.5
61,EE1,Predicted Grades Lower 2021,25.5
62,EE1,Predicted Grades Upper 2021,25.85
63,BF1,Real Grades 2021,25.34
64,BF1,Predicted Grades Lower 2021,25.61
65,BF1,Predicted Grades Upper 2021,25.95
66,ME2,Real Grades 2021,25.78
67,ME2,Predicted Grades Lower 2021,25.8
68,ME2,Predicted Grades Upper 2021,26.14
69,TE-E2,Real Grades 2021,26.11
70,TE-E2,Predicted Grades Lower 2021,25.84
71,TE-E2,Predicted Grades Upper 2021,26.14
72,BF2,Real Grades 2021,25.94
73,BF2,Predicted Grades Lower 2021,25.95
74,BF2,Predicted Grades Upper 2021,26.25
75,ME-E1,Real Grades 2021,26.3
76,ME-E1,Predicted Grades Lower 2021,25.95
77,ME-E1,Predicted Grades Upper 2021,26.25
78,MI2,Real Grades 2021,27.0
79,MI2,Predicted Grades Lower 2021,25.95
80,MI2,Predicted Grades Upper 2021,26.25
81,ET-E5,Real Grades 2021,25.88
82,ET-E5,Predicted Grades Lower 2021,25.99
83,ET-E5,Predicted Grades Upper 2021,26.32
84,ET-E4,Real Grades 2021,26.59
85,ET-E4,Predicted Grades Lower 2021,25.99
86,ET-E4,Predicted Grades Upper 2021,26.32
87,FL1,Real Grades 2021,26.39
88,FL1,Predicted Grades Lower 2021,26.06
89,FL1,Predicted Grades Upper 2021,26.36
90,FL2,Real Grades 2021,26.11
91,FL2,Predicted Grades Lower 2021,26.06
92,FL2,Predicted Grades Upper 2021,26.36
93,TE3,Real Grades 2021,26.48
94,TE3,Predicted Grades Lower 2021,26.17
95,TE3,Predicted Grades Upper 2021,26.47
96,ET1,Real Grades 2021,26.8
97,ET1,Predicted Grades Lower 2021,26.17
98,ET1,Predicted Grades Upper 2021,26.47
99,TE2,Real Grades 2021,25.7
100,TE2,Predicted Grades Lower 2021,26.25
101,TE2,Predicted Grades Upper 2021,26.55
102,MI1,Real Grades 2021,27.0
103,MI1,Predicted Grades Lower 2021,26.32
104,MI1,Predicted Grades Upper 2021,26.62
105,TE1,Real Grades 2021,26.94
106,TE1,Predicted Grades Lower 2021,26.47
107,TE1,Predicted Grades Upper 2021,26.74
108,EE-E8,Real Grades 2021,27.26
109,EE-E8,Predicted Grades Lower 2021,26.66
110,EE-E8,Predicted Grades Upper 2021,26.96
111,IT-E6,Real Grades 2021,27.4
112,IT-E6,Predicted Grades Lower 2021,26.7
113,IT-E6,Predicted Grades Upper 2021,27.04
114,ME1,Real Grades 2021,26.91
115,ME1,Predicted Grades Lower 2021,26.78
116,ME1,Predicted Grades Upper 2021,27.11
117,IT2,Real Grades 2021,28.1
118,IT2,Predicted Grades Lower 2021,26.92
119,IT2,Predicted Grades Upper 2021,27.22
120,EE2,Real Grades 2021,27.46
121,EE2,Predicted Grades Lower 2021,27.11
122,EE2,Predicted Grades Upper 2021,27.41
123,IT-E7,Real Grades 2021,27.85
124,IT-E7,Predicted Grades Lower 2021,27.15
125,IT-E7,Predicted Grades Upper 2021,27.49
126,IT1,Real Grades 2021,28.43
127,IT1,Predicted Grades Lower 2021,27.67
128,IT1,Predicted Grades Upper 2021,27.94
