,Major ID,Type,Grade
0,EM-VUW,Real Grades 2019,20.9
1,EM-VUW,Predicted Grades Lower 2019,19.6
2,EM-VUW,Predicted Grades Upper 2019,20.35
3,TROY-IT,Real Grades 2019,20.6
4,TROY-IT,Predicted Grades Lower 2019,19.6
5,TROY-IT,Predicted Grades Upper 2019,20.35
6,TROY-BA,Real Grades 2019,20.2
7,TROY-BA,Predicted Grades Lower 2019,19.6
8,TROY-BA,Predicted Grades Upper 2019,20.35
9,ME-GU,Real Grades 2019,21.2
10,ME-GU,Predicted Grades Lower 2019,20.3
11,ME-GU,Predicted Grades Upper 2019,20.9
12,ET-LUH,Real Grades 2019,20.3
13,ET-LUH,Predicted Grades Lower 2019,20.3
14,ET-LUH,Predicted Grades Upper 2019,20.9
15,IT-GINP,Real Grades 2019,20.0
16,IT-GINP,Predicted Grades Lower 2019,21.05
17,IT-GINP,Predicted Grades Upper 2019,21.65
18,EM1,Real Grades 2019,21.9
19,EM1,Predicted Grades Lower 2019,21.7
20,EM1,Predicted Grades Upper 2019,22.3
21,EM2,Real Grades 2019,22.3
22,EM2,Predicted Grades Lower 2019,21.7
23,EM2,Predicted Grades Upper 2019,22.3
24,EM5,Real Grades 2019,22.5
25,EM5,Predicted Grades Lower 2019,21.7
26,EM5,Predicted Grades Upper 2019,22.3
27,EM-NU,Real Grades 2019,23.0
28,EM-NU,Predicted Grades Lower 2019,21.7
29,EM-NU,Predicted Grades Upper 2019,22.35
30,IT-VUW,Real Grades 2019,22.0
31,IT-VUW,Predicted Grades Lower 2019,21.75
32,IT-VUW,Predicted Grades Upper 2019,22.35
33,EM4,Real Grades 2019,22.6
34,EM4,Predicted Grades Lower 2019,22.15
35,EM4,Predicted Grades Upper 2019,22.75
36,EV1,Real Grades 2019,20.2
37,EV1,Predicted Grades Lower 2019,22.28
38,EV1,Predicted Grades Upper 2019,22.8
39,CH3,Real Grades 2019,21.1
40,CH3,Predicted Grades Lower 2019,22.28
41,CH3,Predicted Grades Upper 2019,22.8
42,CH1,Real Grades 2019,22.3
43,CH1,Predicted Grades Lower 2019,22.28
44,CH1,Predicted Grades Upper 2019,22.8
45,CH2,Real Grades 2019,21.1
46,CH2,Predicted Grades Lower 2019,22.28
47,CH2,Predicted Grades Upper 2019,22.8
48,EM3,Real Grades 2019,23.3
49,EM3,Predicted Grades Lower 2019,22.35
50,EM3,Predicted Grades Upper 2019,22.95
51,HE1,Real Grades 2019,22.3
52,HE1,Predicted Grades Lower 2019,22.39
53,HE1,Predicted Grades Upper 2019,22.91
54,PH1,Real Grades 2019,22.1
55,PH1,Predicted Grades Lower 2019,22.39
56,PH1,Predicted Grades Upper 2019,22.91
57,MS1,Real Grades 2019,21.4
58,MS1,Predicted Grades Lower 2019,22.39
59,MS1,Predicted Grades Upper 2019,22.91
60,PH2,Real Grades 2019,20.0
61,PH2,Predicted Grades Lower 2019,22.39
62,PH2,Predicted Grades Upper 2019,22.91
63,MS-E3,Real Grades 2019,21.6
64,MS-E3,Predicted Grades Lower 2019,22.39
65,MS-E3,Predicted Grades Upper 2019,22.91
66,TX1,Real Grades 2019,21.88
67,TX1,Predicted Grades Lower 2019,22.39
68,TX1,Predicted Grades Upper 2019,22.91
69,ME-NUT,Real Grades 2019,22.15
70,ME-NUT,Predicted Grades Lower 2019,22.4
71,ME-NUT,Predicted Grades Upper 2019,23.0
72,IT-LTU,Real Grades 2019,23.25
73,IT-LTU,Predicted Grades Lower 2019,22.55
74,IT-LTU,Predicted Grades Upper 2019,23.1
75,FL2,Real Grades 2019,23.2
76,FL2,Predicted Grades Lower 2019,22.8
77,FL2,Predicted Grades Upper 2019,23.36
78,FL1,Real Grades 2019,22.6
79,FL1,Predicted Grades Lower 2019,22.8
80,FL1,Predicted Grades Upper 2019,23.36
81,EE1,Real Grades 2019,24.28
82,EE1,Predicted Grades Lower 2019,22.95
83,EE1,Predicted Grades Upper 2019,23.5
84,BF1,Real Grades 2019,23.4
85,BF1,Predicted Grades Lower 2019,23.21
86,BF1,Predicted Grades Upper 2019,23.74
87,ME2,Real Grades 2019,23.86
88,ME2,Predicted Grades Lower 2019,23.51
89,ME2,Predicted Grades Upper 2019,24.04
90,TE-E2,Real Grades 2019,24.23
91,TE-E2,Predicted Grades Lower 2019,23.59
92,TE-E2,Predicted Grades Upper 2019,24.08
93,ME-E1,Real Grades 2019,24.06
94,ME-E1,Predicted Grades Lower 2019,23.74
95,ME-E1,Predicted Grades Upper 2019,24.22
96,BF2,Real Grades 2019,24.0
97,BF2,Predicted Grades Lower 2019,23.74
98,BF2,Predicted Grades Upper 2019,24.22
99,MI2,Real Grades 2019,24.8
100,MI2,Predicted Grades Lower 2019,23.77
101,MI2,Predicted Grades Upper 2019,24.3
102,ET-E4,Real Grades 2019,24.6
103,ET-E4,Predicted Grades Lower 2019,23.85
104,ET-E4,Predicted Grades Upper 2019,24.34
105,ET-E5,Real Grades 2019,24.1
106,ET-E5,Predicted Grades Lower 2019,23.85
107,ET-E5,Predicted Grades Upper 2019,24.34
108,TE3,Real Grades 2019,24.7
109,TE3,Predicted Grades Lower 2019,24.11
110,TE3,Predicted Grades Upper 2019,24.6
111,ET1,Real Grades 2019,24.8
112,ET1,Predicted Grades Lower 2019,24.11
113,ET1,Predicted Grades Upper 2019,24.6
114,TE2,Real Grades 2019,23.7
115,TE2,Predicted Grades Lower 2019,24.26
116,TE2,Predicted Grades Upper 2019,24.79
117,MI1,Real Grades 2019,25.2
118,MI1,Predicted Grades Lower 2019,24.34
119,MI1,Predicted Grades Upper 2019,24.86
120,TE1,Real Grades 2019,25.05
121,TE1,Predicted Grades Lower 2019,24.6
122,TE1,Predicted Grades Upper 2019,25.12
123,EE-E8,Real Grades 2019,25.2
124,EE-E8,Predicted Grades Lower 2019,24.94
125,EE-E8,Predicted Grades Upper 2019,25.46
126,IT-E6,Real Grades 2019,25.7
127,IT-E6,Predicted Grades Lower 2019,25.01
128,IT-E6,Predicted Grades Upper 2019,25.58
129,ME1,Real Grades 2019,25.4
