,Major ID,Type,Grade
130,ME1,Predicted Grades Lower 2019,25.12
131,ME1,Predicted Grades Upper 2019,25.69
132,IT2,Real Grades 2019,26.85
133,IT2,Predicted Grades Lower 2019,25.39
134,IT2,Predicted Grades Upper 2019,25.88
135,EE2,Real Grades 2019,26.05
136,EE2,Predicted Grades Lower 2019,25.72
137,EE2,Predicted Grades Upper 2019,26.21
138,IT-E7,Real Grades 2019,26.0
139,IT-E7,Predicted Grades Lower 2019,25.76
140,IT-E7,Predicted Grades Upper 2019,26.29
141,IT1,Real Grades 2019,27.42
142,IT1,Predicted Grades Lower 2019,26.59
143,IT1,Predicted Grades Upper 2019,27.04
